epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,332.486,0.97369,1.51966,1.35677,1.12645,0,0.91947,0.84948,0.91071,0.68129,0.91947,0.84948,0.91071,0.77759,0.98929,0.94065,1.41792,1.13423,0,0.0007327,0.0007327,0.0007327
29,344.505,0.98453,1.45819,1.40966,1.16059,0,0.89037,0.8492,0.89423,0.66653,0.89037,0.8492,0.89423,0.7422,1.05333,1.00803,1.35128,1.16516,0,0.0007228,0.0007228,0.0007228
30,356.919,0.96171,1.37894,1.29429,1.14506,0,0.82596,0.87481,0.89871,0.65016,0.82596,0.87481,0.89871,0.73258,1.02136,1.18877,1.36086,1.10826,0,0.0007129,0.0007129,0.0007129
31,369.017,0.93397,1.28921,1.28959,1.0871,0,0.8507,0.85909,0.88908,0.63817,0.8507,0.85909,0.88908,0.72251,1.00669,1.24673,1.41325,1.10002,0,0.000703,0.000703,0.000703
32,381.303,0.90304,1.4855,1.28209,1.12883,0,0.90203,0.84307,0.89389,0.65144,0.90203,0.84307,0.89389,0.71464,1.01972,1.50934,1.50516,1.12325,0,0.0006931,0.0006931,0.0006931
33,393.381,0.87368,1.34199,1.18121,1.0865,0,0.94028,0.85909,0.88282,0.66513,0.94028,0.85909,0.88282,0.74445,1.04529,0.99013,1.38555,1.12285,0,0.0006832,0.0006832,0.0006832
34,405.248,0.8771,1.32274,1.15841,1.09326,0,0.92287,0.86402,0.89724,0.68783,0.92287,0.86402,0.89724,0.7636,1.02954,0.97039,1.34858,1.09344,0,0.0006733,0.0006733,0.0006733
35,417.023,0.95012,1.55486,1.23561,1.13295,0,0.83234,0.86164,0.90685,0.67818,0.81964,0.8698,0.89935,0.77186,1.02675,0.95067,1.34139,1.05437,0,0.0006634,0.0006634,0.0006634
36,428.084,0.88687,1.20833,1.21298,1.09144,0,0.8151,0.86846,0.88159,0.66597,0.8151,0.86846,0.88159,0.76813,1.0453,1.09679,1.36496,1.05456,0,0.0006535,0.0006535,0.0006535
37,439.865,0.88887,1.29017,1.17575,1.0808,0,0.80832,0.88115,0.89108,0.65727,0.80832,0.88115,0.89108,0.77692,1.12058,0.8791,1.36233,1.10905,0,0.0006436,0.0006436,0.0006436
38,450.908,0.90682,1.46883,1.28874,1.10365,0,0.82837,0.81329,0.86928,0.67818,0.8787,0.85658,0.90228,0.77824,1.08462,0.89279,1.27165,1.09136,0,0.0006337,0.0006337,0.0006337
39,462.091,0.91699,1.38867,1.19074,1.13139,0,0.86144,0.83927,0.87891,0.66481,0.91446,0.88382,0.92273,0.76596,1.03818,0.97396,1.33325,1.10087,0,0.0006238,0.0006238,0.0006238
40,473.264,0.86107,1.31348,1.11358,1.0863,0,0.90903,0.84456,0.91214,0.64901,0.90903,0.84456,0.91214,0.74897,1.05211,1.15218,1.40709,1.10928,0,0.0006139,0.0006139,0.0006139
41,484.374,0.9459,1.50235,1.1952,1.13889,0,1,0.76083,0.9016,0.66441,1,0.76083,0.88941,0.76779,1.09118,1.40184,1.42309,1.12597,0,0.000604,0.000604,0.000604
42,495.206,0.91436,1.32114,1.19002,1.0706,0,0.96431,0.79234,0.90662,0.66394,0.96431,0.79234,0.89442,0.76773,1.0662,1.38935,1.39441,1.11276,0,0.0005941,0.0005941,0.0005941
43,506.24,0.90727,1.54975,1.21673,1.11752,0,0.82504,0.90455,0.9068,0.69204,0.82504,0.90455,0.9068,0.79898,0.99125,1.01412,1.37172,1.09603,0,0.0005842,0.0005842,0.0005842
44,517.269,0.83763,1.16523,1.14749,1.07514,0,0.82648,0.8947,0.90675,0.71531,0.82648,0.8947,0.90675,0.81166,0.97357,0.88537,1.32244,1.07514,0,0.0005743,0.0005743,0.0005743
45,528.402,0.80517,1.22119,1.0691,1.03913,0,0.8331,0.87025,0.89815,0.70394,0.8331,0.87025,0.89815,0.80189,0.96139,0.87895,1.32461,1.03446,0,0.0005644,0.0005644,0.0005644
46,539.519,0.78065,1.21311,1.09616,1.03236,0,0.87835,0.81349,0.89684,0.69738,0.87835,0.81349,0.89684,0.79271,0.95013,0.84109,1.34732,0.99742,0,0.0005545,0.0005545,0.0005545
47,550.908,0.85411,1.35236,1.0693,1.08253,0,0.91549,0.85221,0.89971,0.69663,0.91549,0.85221,0.89971,0.79142,0.9398,0.84238,1.36298,0.98811,0,0.0005446,0.0005446,0.0005446
48,562.559,0.84805,1.25816,1.13032,1.07449,0,0.88028,0.87192,0.89788,0.66365,0.88028,0.87192,0.89843,0.79103,0.96645,0.99294,1.43296,1.01057,0,0.0005347,0.0005347,0.0005347
49,574.06,0.85599,1.28554,1.10814,1.08767,0,0.88461,0.8596,0.90766,0.66389,0.88461,0.8596,0.90984,0.79071,0.96188,1.04861,1.37365,0.99495,0,0.0005248,0.0005248,0.0005248
50,585.55,0.86859,1.32611,1.10661,1.08066,0,0.90654,0.85909,0.904,0.67635,0.90654,0.85909,0.90631,0.78332,0.91543,1.08266,1.34949,0.98194,0,0.0005149,0.0005149,0.0005149
51,597.508,0.84081,1.36372,1.10483,1.06667,0,0.92941,0.89763,0.91826,0.68273,0.92941,0.89763,0.92059,0.8009,0.82471,0.97824,1.20207,0.94284,0,0.000505,0.000505,0.000505
52,609.288,0.82887,1.31027,1.04017,1.06668,0,0.94114,0.89604,0.91823,0.68016,0.94114,0.89604,0.92008,0.79987,0.83725,0.96428,1.18783,0.94506,0,0.0004951,0.0004951,0.0004951
53,621.088,0.86094,1.25802,1.11086,1.08537,0,0.95308,0.89234,0.92158,0.6688,0.95308,0.89234,0.92158,0.80372,0.86088,0.87215,1.19456,0.93736,0,0.0004852,0.0004852,0.0004852
54,632.874,0.80498,1.1541,1.04889,1.04895,0,0.94073,0.90455,0.92431,0.67963,0.94073,0.90455,0.92431,0.78738,0.89668,0.86114,1.18315,0.95113,0,0.0004753,0.0004753,0.0004753
55,645.001,0.85815,1.2685,1.11529,1.10176,0,0.95539,0.90455,0.93184,0.711,0.95539,0.90455,0.93184,0.79709,0.86345,0.82984,1.15029,0.93925,0,0.0004654,0.0004654,0.0004654
56,657.233,0.7821,1.20193,1.02937,1.03579,0,0.96246,0.90455,0.93457,0.74635,0.96246,0.90455,0.93457,0.78844,0.76368,0.95725,1.16666,0.88707,0,0.0004555,0.0004555,0.0004555
57,669.627,0.77489,1.1533,1.06287,1.01669,0,0.98204,0.90155,0.93964,0.76849,0.98204,0.90155,0.93964,0.80422,0.68081,0.92039,1.08639,0.83861,0,0.0004456,0.0004456,0.0004456
58,681.824,0.82003,1.12329,1.03345,1.03253,0,0.9841,0.87559,0.94217,0.78069,0.9841,0.87559,0.94217,0.8,0.69238,0.89542,1.07115,0.84083,0,0.0004357,0.0004357,0.0004357
59,694.395,0.83258,1.31282,1.06338,1.0644,0,0.92917,0.8967,0.94534,0.77073,0.92917,0.8967,0.94534,0.81722,0.74515,0.74779,1.03946,0.85369,0,0.0004258,0.0004258,0.0004258
60,706.584,0.79063,1.2465,1.04542,1.04734,0,0.9013,0.94798,0.94693,0.74087,0.9013,0.94798,0.94693,0.83804,0.78184,0.70375,1.05075,0.86488,0,0.0004159,0.0004159,0.0004159
61,719.114,0.76179,1.16571,0.9933,1.02586,0,0.90676,0.93641,0.94607,0.7255,0.90676,0.93641,0.94607,0.84747,0.83851,0.62456,1.04859,0.88598,0,0.000406,0.000406,0.000406
62,731.294,0.79227,1.18305,0.98608,1.03901,0,0.9251,0.90455,0.94278,0.75238,0.9251,0.90455,0.94278,0.84265,0.78851,0.56424,1.00808,0.87223,0,0.0003961,0.0003961,0.0003961
63,743.334,0.72746,0.98017,0.95028,1.02164,0,0.94243,0.90455,0.94364,0.76351,0.94243,0.90455,0.94364,0.86201,0.75218,0.55075,0.95162,0.86572,0,0.0003862,0.0003862,0.0003862
64,755.688,0.78801,1.39171,1.02975,1.03785,0,0.93053,0.89568,0.94452,0.78859,0.93053,0.89568,0.94452,0.85603,0.71088,0.52896,0.92593,0.85731,0,0.0003763,0.0003763,0.0003763
65,767.6,0.80153,1.14741,1.03249,1.06101,0,0.94554,0.90361,0.94465,0.76357,0.94554,0.90361,0.94465,0.83392,0.74697,0.58711,0.93427,0.86506,0,0.0003664,0.0003664,0.0003664
66,779.59,0.78489,1.16663,0.99884,1.04513,0,0.94111,0.89661,0.94428,0.77,0.94111,0.89661,0.94428,0.82677,0.75083,0.62706,0.96548,0.85901,0,0.0003565,0.0003565,0.0003565
67,792.147,0.79229,1.22557,1.02573,1.05513,0,0.82813,0.94276,0.92306,0.74257,0.82813,0.94276,0.92306,0.7994,0.7554,0.66696,1.03096,0.85844,0,0.0003466,0.0003466,0.0003466
